code	ko	ja	en	tc	sc
0		0	0	0	0
30	"일반공격
범위보기"	"通常攻撃
 範囲を見る"	View Normal Attack Range	"普通攻擊
查看範圍"	"一般攻击
查看范围"
31	"특수기술
범위보기"	"特殊攻撃
 範囲を見る"	View Special Skill Range	"特殊技
查看範圍"	"特殊技
查看范围"
32	{0} 클리어하시면 해금됩니다.	{0}をクリアすると解禁されます。	Unlocked after clearing {0}.	通關{0}時解鎖。	通关{0}时解锁。
33	필요 전투력	推奨戦闘力	Required Combat Power	所需戰鬥力	所需战斗力
34	스쿼드에 배치된 캐릭터가 없어 출격할 수 없습니다.	分隊に配置された戦闘員がいないため出撃できません。	Cannot fight as no characters have been assigned to your Squad.	你的小隊裡沒有配置的角色，無法出擊。	你的小队里没有已部署的角色，无法出击。
35	스쿼드는 하나라도 있어야 합니다.	分隊が選択されていません。	You must have at least 1 Squad.	需要至少一支小隊。	需要至少一支小队。
36	전투력 -	戦闘力－	Combat Power -	戰鬥力 -	战斗力 -
37	잘못된 인자를 선택하셨습니다	間違ったファクターが選択されました。	Invalid selection.	錯誤的服務參數。	错误的服务参数。
38	액티브 스킬이 2개가 아니다	アクティブスキルが一つしかありません。	You do not have 2 Active Skills.	主動技能不是2個。	主动技能不是2个
39	{0} ENTER_STAGE 에러코드입니다.	{0}ENTER_STAGEエラーコードです。	{0} ENTER_STAGE error code.	{0} ENTER_STAGE錯誤代碼。	{0} ENTER_STAGE错误代码。
40	예	はい	Yes	是	是
41	아니요	いいえ	No	否	否
42	확인	確認	OK	確定	确定
43	21 스쿼드에 속한 바이오로이드는 강화/해체의 재료가 될 수 없습니다.	21分隊に配置されているバイオロイドは強化/分解の材料にできません。	Bioroids assigned to Squad 21 cannot be used as Upgrade/Dismantle material.	已屬於21小隊的生化人不能用作強化／拆卸的材料。	已属于21小队的生化人不能用作强化／拆卸的材料。
44	레벨 순 정렬	レベル順に並び替え	Sort by Level	按等級排序	按等级排序
45	등급 순 정렬	等級順に並び替え	Sort by Grade	按級別排序	按级别排序
46	뒤로	戻る	Back	返回	返回
47	사용 순 정렬	使用順に並び替え	Sort by Usage	按使用排序	按使用排序
48	21 스쿼드	21分隊	Squad 21	21小隊	21小队
49	등록	登録	Register	登錄	注册
50	해제	解除	Remove	解除	解除
51	탐색 중...	探索中...	Exploring…	探索中…	探索中……
52	기억을 잃은 내가 깨어났을 때 첫 번째로 들은 소식은 나를 제외한 모든 인간이 멸망했다는 소식이었다.	記憶を失くした私が目覚めた時、最初に耳にした報せは、私以外の全ての人間が滅亡したという報せだった。	Having lost my memories, the first news I received when I regained consciousness was that all of mankind had perished and that I was the only survivor.	失去記憶的我，醒來後聽到的第一個消息是除了我以外的所有人類皆已滅亡。	失去记忆的我醒来后听到的第一个消息是除我以外的人类都已灭亡。
53	상세정보	詳細情報	Details	詳情	详情
54	캐릭터 교체	戦闘員交代	Change Character	更換角色	更换角色
55	회피율	回避率	EVA%	迴避率	闪避率
56	적중률	命中率	ACU%	命中率	命中率
57	확인	確認	OK	確定	确定
58	방어력	防御力	DEF	防禦力	防御力
59	스쿼드 전투력	分隊の戦闘力	Squad Combat Power	小隊戰鬥力	小队战斗力
60	공격력	攻撃力	ATK	攻擊力	攻击力
61	세계	世界	World	世界	世界
62	우편	メール	Mail	信件	邮件
63	공방	工房	Workshop	工坊	工坊
64	편성	編成	Organize	編排	编成
65	상점	ショップ	Shop	商店	商店
66	임무	任務	Mission	任務	任务
67	순위	順位	Rank	排名	排名
68	기지	基地	Base	基地	基地
69	연구	研究	Research	研究	研究
70	전투에서 대원을 잃지 마십시오.	戦闘で隊員への損失を防いでください。	Do not lose any members during combat.	請別在戰鬥中失去隊員。	请勿在战斗中失去队员。
71	전투에서 피해를 입지 마십시오.	戦闘でダメージを受けないようにしてください。	Do not receive any damage during combat.	請別在戰鬥中受傷。	请勿在战斗中受伤。
72	20턴내에 스테이지를 완료 하십시오.	20ターン以内にステージをクリアしてください。	Clear the stage within 20 turns.	請在20回合內通關。	请在20回合内通过关卡。
73	스테이지를 완료 하십시오	ステージをクリアしてください	Clear the stage.	請完成本關卡通關。	请通过本关卡
74	임무중 새로 합류한 대원	任務中に新たに合流した隊員	New members from the mission	任務中途加入的新隊員	任务中途加入的队员
75	새 대원이 본부에 합류했습니다.	新隊員が本部に合流しました。	A new member has joined HQ.	新隊員加入總部了。	新队员加入总部了。
76	합류	合流	Join	加入	加入
77	아군신호 포착 됨	味方の信号を捕捉	Ally signal detected!	捕捉到我軍信號	捕捉到我军信号
78	신호정밀탐색중	信号の精密探索中	Pinpointing signal	正在精密探索信號	正在精密探索信号
79	모든 스쿼드에	全ての分隊に	All Squads	所有小隊	所有小队
80	"터치하여
분대원
추가"	"タップして
 分隊員
 追加"	"Tap
and add 
unit member"	"輕觸
添加
分隊隊員"	"轻触
添加
分队队员"
81	스쿼드의 1열에	分隊の前列に	In Squad Row 1	小隊的第1列上	小队的第1列上
82	스쿼드의 후열에	分隊の後列に	In Rear Row	小隊的後列上	小队的后列上
83	진형	陣形	Formation	陣型	阵型
84	지원 화력	支援火力	Support Firepower	支援火力	支援火力
85	오퍼레이터 강화	オペレーター強化	Upgrade Operator	操作員強化	操作员强化
86	"오퍼레이터
보너스"	"オペレーター
 ボーナス"	Operator Bonus	"操作員
加成"	"操作员
加成"
87	"지원 장비
교체
"	"支援装備
 交換"	"Change Support Gear
"	"更換
支援裝備
"	"更换
支援装备
"
88	닫기	閉じる	Close	關閉	关闭
89	스쿼드 선택	分隊選択	Select Squad	選擇小隊	选择小队
90	편집	編集	Edit	編輯	编辑
91	전투 시작	戦闘開始	Start Combat	開始戰鬥	开始战斗
92	전략 화면	戦略画面	Strategic View	戰略介面	战略界面
93	퇴각	退却	Retreat	撤退	撤退
94	승인	承認	Approve	批准	批准
95	자원 탐색시	資源探索時	During Resource Exploration	探索資源時	探索资源时
96	입장	入場	Enter	入場	进入
97	자원 탐색 화면 보기	資源探索画面表示	View Resource Exploration Screen	查看探索資源介面	查看探索资源界面
98	자원 탐색	資源探索	Resource Exploration	資源探索	资源探索
99	전투력 화면 보기	戦闘力画面を見る	View Combat Power Screen	查看戰鬥力介面	查看战斗力界面
100	자원탐사대 배치	資源探索隊配置	Assign Resource Exploration Team	配置資源探查隊	部署资源探查队
101	전투력	戦闘力	Combat Power	戰鬥力	战斗力
102	"중복 캐릭터를 스쿼드에
등록할 수 없습니다."	"同じ戦闘員を分隊に
 登録できません。"	"The same characters
cannot be added to the same squad."	"小隊中不能同時登錄
相同的角色。"	"小队中不能同时放置
相同的角色。"
103	대기	待機	Wait	等候	等待
104	미션 중단 여부를 확인합니다.	ミッション中断の可否を確認します。	Are you sure you want to abort mission?	確認是否中斷任務。	确认是否中断任务。
105	전투 중에는 퇴각할 수 없습니다.	戦闘中は退却できません。	You cannot retreat during combat.	在戰鬥中不能撤退。	在战斗中不能撤退。
106	미션 중단 시 기지로 귀환하며 미션은 실패하게 됩니다.	ミッション中断時、基地に帰還しミッションは失敗となります。	If you abort the mission, you will return to base and fail the mission.	任務中斷後會立即返回基地，任務將失敗。	任务中断后会立即返回基地，任务宣告失败
107	닉네임을 입력하세요.	ニックネームを入力してください。	Enter Nickname.	請輸入暱稱。	请输入昵称。
108	중복된 닉네임 입니다.	重複したニックネームです。	This nickname already exists.	此暱稱已被使用。	此昵称已被使用。
109	게임을 종료 하시겠습니까?	ゲームを終了しますか？	Do you want to exit the game?	是否結束遊戲？	是否结束游戏？
110	{0} 스테이지 완료 후 자원탐사대를 배치하세요.	{0}ステージ完了後、資源探索隊を配置してください。	Assign a Resource Exploration Team after clearing Stage {0}.	請完成關卡{0}後，配置資源探查隊。	请完成关卡{0}后，部署资源探查队。
111	탐색 스쿼드 선택	探索分隊選択	Select Exploration Squad	選擇探索小隊	选择探索小队
112	출전 조건	出戦条件	Deployment Conditions	出戰條件	出战条件
113	평균 레벨	平均レベル	Average Level	平均等級	平均等级
114	스쿼드 구성 인원	編成機数	Squad Members	小隊成員	小队成员
115	아이템 획득 확률 추가	アイテム獲得確率上昇	Additional Item Rate	增加道具獲得機率	增加道具掉落率
116	탐색 시작	探索開始	Start	開始探索	开始探索
117	탐색 소요 시간	探索所要時間	Exploration Time	探索所需時間	探索所需时间
118	이상	以上	or more	以上	以上
119	스쿼드를 투입하세요	分隊を投入してください	Dispatch Squad	請投入小隊	请投入小队
120	선택됨	選択されました	Selected	已選擇	已选择
121	자원 탐색 중	資源探索中	Exploring for resources	正在探索資源	资源探索中
122	레벨 부족	レベル不足	Level is too low.	等級不足	等级不足
123	탐색 취소	探索キャンセル	Cancel Exploration	取消探索	取消探索
124	자원 탐색 중	資源探索中	Exploring for resources	正在探索資源	资源探索中
125	인원수 부족	人員数不足	Not enough members.	人數不足	人数不足
126	"[c][ffcc00]자원 탐색[-][/c]을 중지할 경우, 자원을 획득할 수 없습니다.
중지하시겠습니까?"	"[c][ffcc00]資源探索[-][/c]を中止した場合、資源を獲得できません。
 中止しますか？"	"You will not get any resources if you quit this [c][ffcc00]Resource Exploration[-][/c].
 Do you still want to quit?"	"如果停止[c][ffcc00]資源探索[-][/c]，就無法獲得資源。
是否確定停止？"	"如果停止[c][ffcc00]资源探索[-][/c]，就无法获得资源。
是否确定停止？"
127	탐색 중지	探索中止	Quit Exploration	取消探索	取消探索
128	계속 탐색	探索継続	Continue Exploration	繼續探索	继续探索
129	탐색 완료	探索完了	Exploration Complete	完成探索	完成探索
130	계속 탐색을 진행하시겠습니까?	探索を継続しますか？	Do you want to continue your Exploration?	是否確定繼續探索？	是否确定继续探索？
131	능력치 보기	能力値を見る	View Stats	查看能力值	查看能力值
132	능력치	能力値	Stats	能力值	能力值
133	치명타	ｸﾘﾃｨｶﾙ	CRIT	暴擊	暴击
134	HP	HP	HP	生命力	生命力
135	사정 거리	射程距離	Range	射程	射程
136	공격 범위 : 십자	攻撃範囲:十字	Attack Range: Cross	攻擊範圍：十字	攻击范围：十字
137	AP 소모	AP消費	AP Consumed	消耗AP	消耗AP
138	스킬 범위	スキル範囲	Skill Range	技能範圍	技能范围
139	사용 중	使用中	In Use	使用中	使用中
140	10레벨에 개방	10レベルで解放	Unlocked at Lv. 10	在10等級開放	在10等级开放
141	20레벨에 개방	20レベルで解放	Unlocked at Lv. 20	在20等級開放	在20等级开放
142	30레벨에 개방	30レベルで解放	Unlocked at Lv. 30	在30等級開放	在30等级开放
143	40레벨에 개방	40レベルで解放	Unlocked at Lv. 40	在40等級開放	在40等级开放
144	50레벨에 개방	50レベルで解放	Unlocked at Lv. 50	在50等級開放	在50等级开放
145	60레벨에 개방	60レベルで解放	Unlocked at Lv. 60	在60等級開放	在60等级开放
